scenario,base,type,propensityModelMisspecified,riskModelMisspecified,sampleSize,harm,riskModel,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,g0,g1,g2,c,averageTrueBenefit,averageBenefit
83,risk,linear-high,true,true,2125,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.05
84,risk,linear-high,true,true,2125,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.05
85,risk,linear-high,true,true,17000,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.04
86,risk,linear-high,true,true,17000,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.04
87,risk,linear-high,true,true,17000,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.03
88,risk,linear-high,true,true,17000,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.03
89,risk,linear-high,true,true,17000,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.05
90,risk,linear-high,true,true,17000,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.05
91,risk,linear-high,true,misspecified,4250,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.04
92,risk,linear-high,true,misspecified,4250,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.04
93,risk,linear-high,true,misspecified,4250,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.03
94,risk,linear-high,true,misspecified,4250,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.03
95,risk,linear-high,true,misspecified,4250,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.05
96,risk,linear-high,true,misspecified,4250,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.05
97,risk,linear-high,true,misspecified,2125,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.04
98,risk,linear-high,true,misspecified,2125,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.04
99,risk,linear-high,true,misspecified,2125,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.03
100,risk,linear-high,true,misspecified,2125,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.03
101,risk,linear-high,true,misspecified,2125,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.05
102,risk,linear-high,true,misspecified,2125,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.05
103,risk,linear-high,true,misspecified,17000,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.04
104,risk,linear-high,true,misspecified,17000,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.04
105,risk,linear-high,true,misspecified,17000,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.03
106,risk,linear-high,true,misspecified,17000,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.03
107,risk,linear-high,true,misspecified,17000,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.05
108,risk,linear-high,true,misspecified,17000,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.05
109,risk,linear-high,misspecified,true,4250,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.04
110,risk,linear-high,misspecified,true,4250,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.04
111,risk,linear-high,misspecified,true,4250,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.03
112,risk,linear-high,misspecified,true,4250,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.03
113,risk,linear-high,misspecified,true,4250,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.05
114,risk,linear-high,misspecified,true,4250,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.05
115,risk,linear-high,misspecified,true,2125,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.04
116,risk,linear-high,misspecified,true,2125,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.04
117,risk,linear-high,misspecified,true,2125,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.03
118,risk,linear-high,misspecified,true,2125,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.03
119,risk,linear-high,misspecified,true,2125,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.05
120,risk,linear-high,misspecified,true,2125,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.05
121,risk,linear-high,misspecified,true,17000,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.04
122,risk,linear-high,misspecified,true,17000,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.04
123,risk,linear-high,misspecified,true,17000,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.03
124,risk,linear-high,misspecified,true,17000,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.03
125,risk,linear-high,misspecified,true,17000,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.05
126,risk,linear-high,misspecified,true,17000,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.05
